Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,Throughput
1,200,0.1,0.2,50,200,5686,1278,86,10258,0.008384,,Loss,
2,200,0.1,0.2,50,200,649,587,198,10048.82422,0.019704,,0.1,0.0116772
3,200,0.1,0.2,50,200,621,549,199,10065,0.019771,,0.2,0.013161
4,200,0.1,0.2,50,200,5816,1387,76,9762,0.007785,,0.4,0.0056055
5,200,0.1,0.2,50,200,7510,1604,38,9701,0.003917,,0.5,
6,200,0.1,0.2,50,200,552,496,198,10181,0.019448,,0.6,0.0070839
7,200,0.1,0.2,50,200,6720,1457,50,9608,0.005204,,0.8,
8,200,0.1,0.2,50,200,513,470,199,10455,0.019034,,,
9,200,0.1,0.2,50,200,8565,1821,17,10170.25977,0.001672,,,
10,200,0.1,0.2,50,200,4635,1143,119,10040,0.011853,,,
,,,,,,,,,,0.0116772,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
1,200,0.2,0.2,50,200,726,590,199,10230,0.019453,,,
2,200,0.2,0.2,50,200,7803,1633,34,9282,0.003663,,,
3,200,0.2,0.2,50,200,701,558,199,10238,0.019437,,,
4,200,0.2,0.2,50,200,6300,1391,73,10088,0.007236,,,
5,200,0.2,0.2,50,200,7648,1638,45,10283,0.004376,,,
6,200,0.2,0.2,50,200,2882,868,157,10564,0.014862,,,
7,200,0.2,0.2,50,200,787,638,199,9493,0.020963,,,
8,200,0.2,0.2,50,200,704,561,196,9530,0.020567,,,
9,200,0.2,0.2,50,200,8185,1724,11,9623,0.001143,,,
10,200,0.2,0.2,50,200,688,530,199,9995,0.01991,,,
,,,,,,,,,,0.013161,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
1,200,0.4,0.2,50,200,8947,1814,17,10286,0.001653,,,
2,200,0.4,0.2,50,200,8130,1798,29,10474,0.002769,,,
3,200,0.4,0.2,50,200,7772,1627,43,10338,0.004159,,,
4,200,0.4,0.2,50,200,7594,1621,51,9754,0.005229,,,
5,200,0.4,0.2,50,200,6826,1599,48,9766,0.004915,,,
6,200,0.4,0.2,50,200,4542,1212,121,10625,0.011388,,,
7,200,0.4,0.2,50,200,7021,1520,23,9196,0.002501,,,
8,200,0.4,0.2,50,200,6818,1453,60,10097,0.005942,,,
9,200,0.4,0.2,50,200,6865,1575,41,8986,0.004563,,,
10,200,0.4,0.2,50,200,4157,1212,131,10127,0.012936,,,
,,,,,,,,,,0.0056055,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
1,200,0.6,0.2,50,200,8448,1800,33,10593.9541,0.003115,,,
2,200,0.6,0.2,50,200,7122,1656,55,9930,0.005539,,,
3,200,0.6,0.2,50,200,7133,1568,62,10283,0.006029,,,
4,200,0.6,0.2,50,200,8166,1716,37,9967,0.003712,,,
5,200,0.6,0.2,50,200,5248,1314,118,10020,0.011776,,,
6,200,0.6,0.2,50,200,7590,1637,39,10078,0.00387,,,
7,200,0.6,0.2,50,200,5467,1343,114,10129,0.011255,,,
8,200,0.6,0.2,50,200,8138,1616,34,9889.719727,0.003438,,,
9,200,0.6,0.2,50,200,4293,1158,137,10340,0.01325,,,
10,200,0.6,0.2,50,200,6030,1413,83,9373,0.008855,,,
,,,,,,,,,,0.0070839,,,